typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","116","KHM","Cambodia","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4010.48","false","8","kg","4010.48","false","4010.48","false","0","false",,"84716.43","84716.43","0","false","true",
"C","A","20240101","2024","52","2024","28","ATG","Antigua and Barbuda","X","Export","0","W00","World","0","W00","World","H3","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","1000","Air","8","kg","1.875","false","5","u","14","false","1.875","false","0","false",,"53.274","53.274","0","false","true",
"C","A","20240101","2024","52","2024","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","1000","Air","8","kg","46.65","false","8","kg","46.65","false","46.65","false","0","false",,"3562.66","3562.66","0","false","true",
"C","A","20240101","2024","52","2024","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","1000","Air","8","kg","573.02","true","8","kg","571","false","573.02","true","0","false",,"3342","3342","6","false","true",
"C","A","20240101","2024","52","2024","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","1000","Air","8","kg","153.077","true","-1","N/A","0","false","153.077","true","0","false",,"8745.235","8745.235","6","false","true",
"C","A","20240101","2024","52","2024","104","MMR","Myanmar","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","1000","Air","8","kg","2930","false","8","kg","2930","false","2930","false","0","false",,"12140","12140","0","false","true",
"C","A","20240101","2024","52","2024","8","ALB","Albania","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","2100","Sea","8","kg","1393.88","false","8","kg","1393.88","false","1393.88","false","0","false",,"28337.272","28337.272","0","false","true",
"C","A","20240101","2024","52","2024","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","2100","Sea","8","kg","36810.287","true","8","kg","35903","false","36822.287","true","0","false",,"577214","577214","6","false","true",
"C","A","20240101","2024","52","2024","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","2100","Sea","8","kg","114","false","8","kg","114","false","114","false","0","false",,"5332.325","5332.325","0","false","true",
"C","A","20240101","2024","52","2024","70","BIH","Bosnia Herzegovina","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","3000","Land","8","kg","569.04","false","8","kg","569.04","false","569.04","false","0","false",,"9364.308","9364.308","0","false","true",
"C","A","20240101","2024","52","2024","8","ALB","Albania","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","3200","Road","8","kg","22431.98","false","8","kg","22431.98","false","22431.98","false","0","false",,"173100.159","173100.159","0","false","true",
"C","A","20240101","2024","52","2024","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","3200","Road","8","kg","24897.3","false","8","kg","24897.3","false","24897.3","false","0","false",,"36006.15","36006.15","0","false","true",
"C","A","20240101","2024","52","2024","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","3200","Road","8","kg","2228","false","8","kg","2228","false","2228","false","0","false",,"7680","7680","0","false","true",
"C","A","20240101","2024","52","2024","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","3200","Road","8","kg","3033.81","false","8","kg","3033.81","false","3033.81","false","0","false",,"1452.6","1452.6","0","false","true",
